38000
0.204 0.064 0.204
0 0.0692431 0.00758983 0.0354941
0 0.0645952 0.0160494 0.0216211
0 0.0421698 0.00728583 0.0244441
0 0.153446 0.0106635 0.0261
0 0.159753 0.00399968 0.0277961
0 0.0656557 0.0467112 0.0310028
0 0.180938 0.00467023 0.0439524
0 0.137779 0.00695296 0.0603947
0 0.0383642 0.00541948 0.0578558
0 0.0392338 0.0422689 0.0267544
0 0.104153 0.0112159 0.0180421
0 0.115621 0.0600012 0.0051793
0 0.0597446 0.0429756 0.0622333
0 0.178375 0.00399971 0.0544587
0 0.104749 0.0226173 0.0040855
0 0.123596 0.050764 0.00645817
0 0.165081 0.0177505 0.0270325
0 0.138434 0.00818243 0.0127861
0 0.145721 0.00399928 0.0326238
0 0.177117 0.00630394 0.050057
0 0.115598 0.0506712 0.0211289
0 0.0483431 0.0263659 0.048851
0 0.14464 0.0389092 0.018057
0 0.14666 0.0365109 0.0579751
0 0.129946 0.020151 0.0621563
0 0.0785378 0.052186 0.0192391
0 0.156384 0.0519402 0.0292377
0 0.11292 0.0325907 0.046482
0 0.146166 0.05341 0.0472046
0 0.13836 0.0265498 0.0595086
0 0.154896 0.0532858 0.0519477
0 0.057481 0.0261992 0.0505503
0 0.052621 0.054371 0.0348986
0 0.172578 0.00399953 0.0611732
0 0.162992 0.0345158 0.0381554
0 0.14195 0.0156436 0.0230161
0 0.172291 0.00792463 0.0387394
0 0.0413875 0.0226702 0.0625413
0 0.143279 0.034875 0.0563053
0 0.0442418 0.00791842 0.0422079
0 0.097502 0.00965104 0.0129
0 0.0767111 0.0394079 0.0451456
0 0.142252 0.0374111 0.0377992
0 0.0291555 0.00399979 0.0518522
0 0.181922 0.0600001 0.0513215
0 0.0673189 0.0393019 0.01038
0 0.152886 0.0540255 0.0265571
0 0.134176 0.0509849 0.00947774
0 0.141584 0.0311598 0.0286512
0 0.101371 0.0400696 0.0379796
0 0.125534 0.0496824 0.0097847
0 0.161248 0.0535971 0.0352
0 0.0625121 0.0199511 0.0227809
0 0.111425 0.0568582 0.0179081
0 0.084142 0.0454292 0.0379523
0 0.137088 0.0317938 0.0372731
0 0.124514 0.010289 0.0214677
0 0.079263 0.0483202 0.0317949
0 0.147827 0.0599955 0.0195299
0 0.15865 0.0536896 0.0537975
0 0.133009 0.0188119 0.0558764
0 0.0497309 0.0329781 0.0222164
0 0.168488 0.0346309 0.0519073
0 0.1405 0.0448601 0.0318415
0 0.147404 0.0355736 0.0645642
0 0.091283 0.0209289 0.0101928
0 0.107664 0.0565284 0.0448268
0 0.0662746 0.0569225 0.0257941
0 0.0340277 0.0184287 0.0599206
0 0.177664 0.0229451 0.0581201
0 0.121432 0.0207126 0.0446039
0 0.0723449 0.0368425 0.0592894
0 0.0860447 0.0443625 0.00535441
0 0.1773 0.047846 0.0498776
0 0.138883 0.0571852 0.0275088
0 0.0766686 0.00478282 0.0180985
0 0.0822251 0.0259897 0.0464031
0 0.122933 0.00758209 0.0241255
0 0.141208 0.0238983 0.0604311
0 0.0786358 0.0600004 0.0205399
